# redshift      Ob
1.953953860566760170e+01 1.577316314907335204e-01
1.953219956835080140e+01 1.577315867123135762e-01
1.952486670037765037e+01 1.577315419075732417e-01
1.951754067934469816e+01 1.577314970807089101e-01
1.951022128171732106e+01 1.577314522304151256e-01
1.950290826237046460e+01 1.577314073552462115e-01
1.949560162367200888e+01 1.577313624552702520e-01
1.948830182399044730e+01 1.577313175333635575e-01
1.948100820179372050e+01 1.577312725855123388e-01
1.947372108493767939e+01 1.577312276137902702e-01
1.946644054136136504e+01 1.577311826186749422e-01
1.945916646465140687e+01 1.577311375995668896e-01
1.945189907250022188e+01 1.577310925578734035e-01
1.944463783069544149e+01 1.577310474903393378e-01
1.943738302422358544e+01 1.577310023987864296e-01
1.943013467411659789e+01 1.577309572834022788e-01
1.942289271883216628e+01 1.577309121438607853e-01
1.941565754373026920e+01 1.577308669826250342e-01
1.940842836396178939e+01 1.577308217948522884e-01
1.940120567617740122e+01 1.577307765836995224e-01
1.939398937913661669e+01 1.577307313485911133e-01
1.938677962895971163e+01 1.577306860905645092e-01
1.937957607374575630e+01 1.577306408074674038e-01
1.937237890046525379e+01 1.577305955005295357e-01
1.936518823560960811e+01 1.577305501706063595e-01
1.935800350144701554e+01 1.577305048141088850e-01
1.935082550220755948e+01 1.577304594361704504e-01
1.934365361629739510e+01 1.577304140329206517e-01
1.933648831496868326e+01 1.577303686074000011e-01
1.932932896876678441e+01 1.577303231556733132e-01
1.932217605094738744e+01 1.577302776807985030e-01
1.931502944353763596e+01 1.577302321820839848e-01
1.930788893871991974e+01 1.577301866582609124e-01
1.930075496925528000e+01 1.577301411121458941e-01
1.929362721417451354e+01 1.577300955417487716e-01
1.928650564418475355e+01 1.577300499469370676e-01
1.927939037712980763e+01 1.577300043285212172e-01
1.927228130188240485e+01 1.577299586858452451e-01
1.926517853027240079e+01 1.577299130196836707e-01
1.925808171121516210e+01 1.577298673278328123e-01
1.925099141489943833e+01 1.577298216140204934e-01
1.924390706397054629e+01 1.577297758745811185e-01
1.923682908812436310e+01 1.577297301123440909e-01
1.922975719779785209e+01 1.577296843254942516e-01
1.922269168869797440e+01 1.577296385160037451e-01
1.921563225860976232e+01 1.577295926819706762e-01
1.920857863260826548e+01 1.577295468216599328e-01
1.920153159211410809e+01 1.577295009402091830e-01
1.919449060775029636e+01 1.577294550342323021e-01
1.918745557092826459e+01 1.577294091030735645e-01
1.918042681970390007e+01 1.577293631489955494e-01
1.917340413956393874e+01 1.577293171706531938e-01
1.916638751080519398e+01 1.577292711679718629e-01
1.915937703568419437e+01 1.577292251416776980e-01
1.915237244923733329e+01 1.577291790900847979e-01
1.914537428305960987e+01 1.577291330167457373e-01
1.913838187135796076e+01 1.577290869173330334e-01
1.913139582497285573e+01 1.577290407959291985e-01
1.912441552272091982e+01 1.577289946484886352e-01
1.911744159363530571e+01 1.577289484792257779e-01
1.911047329731025357e+01 1.577289022832931986e-01
1.910351149878385968e+01 1.577288560664819872e-01
1.909655539757515541e+01 1.577288098235354874e-01
