# redshift     age[Myr]
1.893139636051450481e+01 1.951078534632269168e+02
1.892458816080359441e+01 1.952078544017436457e+02
1.891778586050059729e+01 1.953078540239058043e+02
1.891098939068047358e+01 1.954078532241792061e+02
1.890419880413858422e+01 1.955078511070962577e+02
1.889741371853525109e+01 1.956078531903347653e+02
1.889063451145757000e+01 1.957078537960938149e+02
1.888386115439114832e+01 1.958078532255084667e+02
1.887709348085124361e+01 1.959078538205145605e+02
1.887033174600029994e+01 1.960078516929398234e+02
1.886357541754415834e+01 1.961078546019856788e+02
1.885682514003360666e+01 1.962078528923366889e+02
1.885008056640273466e+01 1.963078515845379570e+02
1.884334132972751519e+01 1.964078560112363334e+02
1.883660834747047730e+01 1.965078524399405921e+02
1.882988067170855473e+01 1.966078548312061116e+02
1.882315909240730534e+01 1.967078513277883189e+02
1.881644288136088861e+01 1.968078526468817984e+02
1.880973248919611507e+01 1.969078519676556596e+02
1.880302756459064639e+01 1.970078544123175845e+02
1.879632861410598110e+01 1.971078523092482442e+02
1.878963500879818938e+01 1.972078549327203802e+02
1.878294741976838722e+01 1.973078521412683131e+02
1.877626520796224341e+01 1.974078533744727224e+02
1.876958873495069469e+01 1.975078531104254012e+02
1.876291787179428283e+01 1.976078531648963121e+02
1.875625260105553238e+01 1.977078536864094644e+02
1.874959322075471846e+01 1.978078500853298181e+02
1.874293916309632024e+01 1.979078507741781721e+02
1.873629064823926171e+01 1.980078523372943380e+02
1.872964760585926669e+01 1.981078557224300312e+02
1.872301052651728170e+01 1.982078534265864960e+02
1.871637884003885688e+01 1.983078539234850268e+02
1.870975283262036015e+01 1.984078527859142582e+02
1.870313248148917751e+01 1.985078502407747578e+02
1.869651745291739786e+01 1.986078512187085892e+02
1.868990790309530325e+01 1.987078532515897109e+02
1.868330408933351805e+01 1.988078523313259325e+02
1.867670570316787959e+01 1.989078530146785226e+02
1.867011277406027148e+01 1.990078547460913967e+02
1.866352567051139744e+01 1.991078518193306195e+02
1.865694379353721644e+01 1.992078532148336194e+02
1.865036741337965509e+01 1.993078547202129016e+02
1.864379674989394076e+01 1.994078528763167242e+02
1.863723154823545869e+01 1.995078514460957990e+02
1.863067168161976639e+01 1.996078522522966239e+02
1.862411743762935501e+01 1.997078507992933396e+02
1.861756848712584045e+01 1.998078519977783287e+02
1.861102504579368500e+01 1.999078524452975785e+02
1.860448711979514869e+01 2.000078519342750951e+02
1.859795468201889435e+01 2.001078507662182062e+02
1.859142731237504265e+01 2.002078552671003422e+02
1.858490595576141047e+01 2.003078508453454560e+02
1.857838954370398454e+01 2.004078537716704318e+02
1.857187875221451634e+01 2.005078535663413959e+02
1.856537322019605085e+01 2.006078556638411499e+02
1.855887327721233149e+01 2.007078548869643839e+02
1.855237878833394660e+01 2.008078531964553690e+02
1.854588944809031048e+01 2.009078551889525102e+02
1.853940599188675975e+01 2.010078494164878009e+02
1.853292723872545267e+01 2.011078539867267523e+02
1.852645408604587374e+01 2.012078549454296876e+02
1.851998663251419330e+01 2.013078506474957976e+02
1.851352397720181031e+01 2.014078549169079224e+02
1.850706708395246736e+01 2.015078527319951434e+02
1.850061534338034619e+01 2.016078534163536062e+02
1.849416892976914184e+01 2.017078541628654591e+02
1.848772813597063447e+01 2.018078503137325868e+02
1.848129232289631574e+01 2.019078516826811267e+02
1.847486193882332373e+01 2.020078511993668826e+02
1.846843687732446071e+01 2.021078504072146700e+02
1.846201684384009667e+01 2.022078537866545958e+02
1.845560228370068856e+01 2.023078542937369662e+02
1.844919325494199569e+01 2.024078509067068978e+02
1.844278916083436926e+01 2.025078528292343947e+02
1.843639056164736445e+01 2.026078512062964023e+02
1.842999699301337557e+01 2.027078531868612004e+02
1.842360884542082999e+01 2.028078525563055905e+02
1.841722591203475901e+01 2.029078524417159315e+02
1.841084809618493523e+01 2.030078542526139813e+02
1.840447571988745779e+01 2.031078528304069835e+02
1.839810826443812530e+01 2.032078562090087530e+02
1.839174637345017871e+01 2.033078541717900691e+02
1.838538975932357644e+01 2.034078511238555791e+02
1.837903807231955255e+01 2.035078524636944621e+02
1.837269155723167202e+01 2.036078542358260961e+02
1.836635051589975021e+01 2.037078515720032215e+02
1.836001438243749107e+01 2.038078532889564372e+02
1.835368352556405114e+01 2.039078534637184816e+02
1.834735778125027750e+01 2.040078545795627747e+02
1.834103730098295415e+01 2.041078541341027233e+02
1.833472212125798961e+01 2.042078514385229369e+02
1.832841181183478696e+01 2.043078532015215387e+02
1.832210686657028020e+01 2.044078514914588993e+02
1.831580677025293369e+01 2.045078543746934940e+02
1.830951192003247385e+01 2.046078554442615598e+02
1.830322232418728845e+01 2.047078544577121590e+02
1.829693797321849402e+01 2.048078514549949602e+02
1.829065846120646910e+01 2.049078527919683950e+02
1.828438399809769166e+01 2.050078550257246093e+02
1.827811483592763153e+01 2.051078540306892819e+02
1.827185064134372539e+01 2.052078550169344453e+02
1.826559179688662127e+01 2.053078517692915739e+02
1.825933772072673378e+01 2.054078534789741184e+02
1.825308887680246173e+01 2.055078526252150084e+02
1.824684513900340121e+01 2.056078511169435217e+02
1.824060628953317575e+01 2.057078523396942842e+02
1.823437246690553692e+01 2.058078539720014248e+02
1.822814382344927964e+01 2.059078534631618425e+02
1.822192032582715626e+01 2.060078512388457455e+02
1.821570157228497067e+01 2.061078536531300074e+02
1.820948808362356530e+01 2.062078522274349268e+02
1.820327948377056160e+01 2.063078529075202709e+02
