# redshift      Om
1.767006333004160012e+01 9.996476562485704376e-01
1.766428126969426771e+01 9.996473288019424031e-01
1.765850374402451450e+01 9.996470012067981692e-01
1.765273073597940723e+01 9.996466734624970263e-01
1.764696185248083538e+01 9.996463455470058213e-01
1.764119789327437715e+01 9.996460175061120390e-01
1.763543802497727953e+01 9.996456892927104709e-01
1.762968281949003568e+01 9.996453609396878104e-01
1.762393197088616148e+01 9.996450324299178680e-01
1.761818558208672769e+01 9.996447037695860294e-01
1.761244362497712856e+01 9.996443749574007720e-01
1.760670625058919470e+01 9.996440460023409136e-01
1.760097304174384902e+01 9.996437168807902340e-01
1.759524448700095789e+01 9.996433876211059388e-01
1.758952022411910932e+01 9.996430582027935330e-01
1.758380023742973108e+01 9.996427286252383970e-01
1.757808482952558649e+01 9.996423989061926640e-01
1.757237355707297155e+01 9.996420690203855486e-01
1.756666695406057954e+01 9.996417389989750157e-01
1.756096443458913470e+01 9.996414088083880323e-01
1.755526646248324951e+01 9.996410784757798762e-01
1.754957315346315383e+01 9.996407480082196706e-01
1.754388369740372866e+01 9.996404173589722442e-01
1.753819883797251933e+01 9.996400865715383555e-01
1.753251833840744212e+01 9.996397556324787548e-01
1.752684220422059980e+01 9.996394245424278235e-01
1.752117035038619974e+01 9.996390932967319509e-01
1.751550287020855734e+01 9.996387619011476433e-01
1.750983970820847091e+01 9.996384303527439119e-01
1.750418099784620551e+01 9.996380986596562490e-01
1.749852661399218690e+01 9.996377668148737072e-01
1.749287641090930734e+01 9.996374348101397800e-01
1.748723047652590878e+01 9.996371026509116575e-01
1.748158884019668236e+01 9.996367703392199378e-01
1.747595168498084206e+01 9.996364378861767319e-01
1.747031871417592441e+01 9.996361052745998954e-01
1.746468994093051919e+01 9.996357725055534660e-01
1.745906578257167396e+01 9.996354396040443291e-01
1.745344541390112525e+01 9.996351065215194343e-01
1.744782972416843947e+01 9.996347733109788303e-01
1.744221797529895923e+01 9.996344399289444071e-01
1.743661087117381570e+01 9.996341064175474633e-01
1.743100784598524555e+01 9.996337727434633225e-01
1.742540891606334341e+01 9.996334389079364335e-01
1.741981448955513656e+01 9.996331049356202980e-01
1.741422431272495075e+01 9.996327708117050959e-01
1.740863827054486990e+01 9.996324365296119785e-01
1.740305626460175503e+01 9.996321020837272142e-01
1.739747867663535530e+01 9.996317674972293732e-01
